x,1,3,7,14,30,1 stdev,3 stdev,7 stdev,14 stdev,30 stdev
1.0,0.3877999999999999,0.4078,0.4183,0.4643999999999999,0.4745,0.0182197694826252,0.06298380744286583,0.0750746961365812,0.11301698987320445,0.14766939425622358
2.0,0.4036,0.4365,0.4837,0.5498000000000001,0.5549,0.02326026655049335,0.038668462601970606,0.04584986368572976,0.08772890059723762,0.08491224882194559
3.0,0.4149999999999999,0.4476,0.4981000000000001,0.5968,0.6095,0.0135055544129073,0.02566398254363496,0.036412772484390704,0.037445426957106516,0.05232446846361651
4.0,0.4222,0.4555,0.4983000000000001,0.5973,0.6218,0.011240996397117118,0.034188448341508575,0.03643638291598112,0.03665801413060996,0.05459084172276518
5.0,0.4241,0.4619,0.5023000000000001,0.6193,0.6352,0.010885311203635844,0.03486961427948408,0.033663184638414716,0.039423470166894216,0.05951436801311093
6.0,0.4256,0.4784000000000001,0.5187,0.6409,0.6468999999999999,0.01111035552986492,0.022773669006113183,0.03279344446684429,0.03266940464716185,0.04991683082888978
7.0,0.4265,0.4784000000000001,0.5357,0.6409,0.6471,0.009769851585361988,0.022773669006113183,0.035947322570672784,0.03266940464716185,0.05005087411824094
8.0,0.4277,0.4835000000000001,0.5373000000000001,0.6409999999999999,0.6555000000000001,0.010354226190305106,0.020996428267684008,0.03330180175305835,0.032606747767908416,0.04606571393129602
9.0,0.4277,0.4835000000000001,0.5373000000000001,0.6411,0.6591,0.010354226190305106,0.020996428267684008,0.03330180175305835,0.032672465471708746,0.047073240806216006
10.0,0.4286,0.4838000000000001,0.5546,0.6411,0.6592,0.009572878355019463,0.02080769088582393,0.020195048898182928,0.032672465471708746,0.0471334276283828
11.0,0.4286,0.4838000000000001,0.5583,0.6502,0.6716,0.009572878355019463,0.02080769088582393,0.014690473103341472,0.03299636343599095,0.02397582115382077
12.0,0.4286,0.4845,0.5583,0.6502,0.6717000000000001,0.009572878355019463,0.02037768387231484,0.014690473103341472,0.03299636343599095,0.024124883419407432
14.0,0.4286,0.4845,0.5583,0.6502,0.6732,0.009572878355019463,0.02037768387231484,0.014690473103341472,0.03299636343599095,0.02387802336877991
15.0,0.4286,0.4845,0.5583,0.6502,0.6744000000000001,0.009572878355019463,0.02037768387231484,0.014690473103341472,0.03299636343599095,0.02487247474619281
103.0,0.4286,0.4847,0.5583,0.6502,0.6744000000000001,0.009572878355019463,0.020124860247961986,0.014690473103341472,0.03299636343599095,0.02487247474619281
104.0,0.4286,0.4930000000000001,0.5597,0.6502,0.6744000000000001,0.009572878355019463,0.02019900987672417,0.014007497992146891,0.03299636343599095,0.02487247474619281
105.0,0.4314,0.4930000000000001,0.5597,0.6502,0.6744000000000001,0.011918053532351676,0.02019900987672417,0.014007497992146891,0.03299636343599095,0.02487247474619281
106.0,0.4323,0.4930000000000001,0.5597,0.6502,0.6744000000000001,0.012696850003051948,0.02019900987672417,0.014007497992146891,0.03299636343599095,0.02487247474619281
107.0,0.4353000000000001,0.4931000000000001,0.5597,0.6502,0.6752,0.012165936051122423,0.02022597340055604,0.014007497992146891,0.03299636343599095,0.023042569301186863
108.0,0.4392,0.4942,0.5640000000000001,0.6502,0.6799000000000002,0.011169601604354571,0.01932770032880271,0.022045407685048583,0.03299636343599095,0.015763565586503558
109.0,0.4394,0.4971,0.5719,0.6502,0.6799000000000002,0.011217842929904137,0.017242099640125054,0.02112084278621473,0.03299636343599095,0.015763565586503558
110.0,0.4415,0.4972,0.5753,0.6503,0.6833000000000001,0.007940403012442133,0.017440183485273326,0.019859758306686383,0.033160367911107394,0.01805574700753195
111.0,0.4437,0.4972,0.5776,0.6503,0.6833000000000001,0.005020956084253282,0.017440183485273326,0.01811187455786946,0.033160367911107394,0.01805574700753195
112.0,0.4437,0.4972,0.5791000000000001,0.6523,0.6833000000000001,0.005020956084253282,0.017440183485273326,0.01917002869064099,0.031912536721483,0.01805574700753195
113.0,0.4437,0.4976000000000001,0.5832,0.655,0.6882,0.005020956084253282,0.01715342531391327,0.018755265927200254,0.02802498884923953,0.02053192635872238
114.0,0.4437,0.4976000000000001,0.5832,0.655,0.6922,0.005020956084253282,0.01715342531391327,0.018755265927200254,0.02802498884923953,0.018940960904874883
116.0,0.4437,0.4976000000000001,0.5834,0.6583,0.6924,0.005020956084253282,0.01715342531391327,0.018569868066305662,0.02605398242111943,0.01889550211029066
118.0,0.4437,0.4976000000000001,0.5834,0.6583,0.6939,0.005020956084253282,0.01715342531391327,0.018569868066305662,0.02605398242111943,0.017178183838811336
121.0,0.4437,0.4976000000000001,0.5834,0.6583,0.6948000000000001,0.005020956084253282,0.01715342531391327,0.018569868066305662,0.02605398242111943,0.015822768405054755
122.0,0.4437,0.4976000000000001,0.5834,0.6583,0.7004,0.005020956084253282,0.01715342531391327,0.018569868066305662,0.02605398242111943,0.017310112651279862
204.0,0.4452,0.4976000000000001,0.5835,0.6583,0.7004,0.005600000000000006,0.01715342531391327,0.01851080765390854,0.02605398242111943,0.017310112651279862
205.0,0.4465000000000001,0.4976000000000001,0.5845,0.6583,0.7004,0.007684399781375258,0.01715342531391327,0.019561441664662626,0.02605398242111943,0.017310112651279862
206.0,0.4471,0.4976000000000001,0.5845,0.6583,0.7004,0.009060353193998559,0.01715342531391327,0.019561441664662626,0.02605398242111943,0.017310112651279862
207.0,0.4471,0.5038,0.5845,0.6583,0.7004,0.009060353193998559,0.01880319121851396,0.019561441664662626,0.02605398242111943,0.017310112651279862
208.0,0.449,0.5039,0.586,0.6583,0.7004,0.00998999499499374,0.0187213781543988,0.018027756377319917,0.02605398242111943,0.017310112651279862
209.0,0.4493,0.5039,0.586,0.6602,0.7004,0.00963379468330107,0.0187213781543988,0.018027756377319917,0.0246487322189195,0.017310112651279862
210.0,0.4493,0.5078,0.5934,0.6602,0.7004,0.00963379468330107,0.017313578486263338,0.022747307532980668,0.0246487322189195,0.017310112651279862
211.0,0.45,0.5122,0.5976,0.6603,0.7004,0.009402127418834524,0.0175658760100372,0.021941741043043955,0.02475095957735781,0.017310112651279862
212.0,0.4508,0.5122,0.5976,0.6603,0.7004,0.008471127433818944,0.0175658760100372,0.021941741043043955,0.02475095957735781,0.017310112651279862
213.0,0.4508,0.5122,0.6,0.6603,0.7004,0.008471127433818944,0.0175658760100372,0.019657059800488985,0.02475095957735781,0.017310112651279862
214.0,0.4508,0.5142,0.6031,0.6603,0.7004,0.008471127433818944,0.015144636014114053,0.02281863273730484,0.02475095957735781,0.017310112651279862
215.0,0.4508,0.5142,0.6031,0.6607,0.7004,0.008471127433818944,0.015144636014114053,0.02281863273730484,0.024203512141835942,0.017310112651279862
216.0,0.4508,0.5142,0.6031,0.6618,0.7004,0.008471127433818944,0.015144636014114053,0.02281863273730484,0.02303388807822075,0.017310112651279862
217.0,0.4508,0.5142,0.6031,0.6630000000000001,0.7004,0.008471127433818944,0.015144636014114053,0.02281863273730484,0.02289104628451919,0.017310112651279862
218.0,0.4508,0.5142,0.6046999999999999,0.6659,0.7004,0.008471127433818944,0.015144636014114053,0.0218954333138214,0.02172763217656264,0.017310112651279862
219.0,0.4508,0.5142,0.6046999999999999,0.6682,0.7004,0.008471127433818944,0.015144636014114053,0.0218954333138214,0.01989874367893611,0.017310112651279862
220.0,0.4508,0.5142,0.6046999999999999,0.6682,0.7011000000000001,0.008471127433818944,0.015144636014114053,0.0218954333138214,0.01989874367893611,0.016342888361608517
